,title,salary,link,site
0,Python разработчик (Качество данных),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48447671?from=vacancy_search_list&query=Python,https://hh.ru
1,Python-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47967656?from=vacancy_search_list&query=Python,https://hh.ru
2,Middle/Senior Python developer,"{'min_salary': 3500, 'max_salary': 'not salary', 'currency': 'USD'}",https://spb.hh.ru/vacancy/48419670?from=vacancy_search_list&query=Python,https://hh.ru
3,Python Middle Developer,"{'min_salary': 200000, 'max_salary': 240000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48326313?from=vacancy_search_list&query=Python,https://hh.ru
4,Python Developer (Backend),"{'min_salary': 190000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48336337?from=vacancy_search_list&query=Python,https://hh.ru
5,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/46893200?from=vacancy_search_list&query=Python,https://hh.ru
6,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48331830?from=vacancy_search_list&query=Python,https://hh.ru
7,Senior Python developer,"{'min_salary': 4000, 'max_salary': 6000, 'currency': 'USD'}",https://spb.hh.ru/vacancy/48297901?from=vacancy_search_list&query=Python,https://hh.ru
8,Senior Python developer,"{'min_salary': 4000, 'max_salary': 6000, 'currency': 'USD'}",https://spb.hh.ru/vacancy/48297902?from=vacancy_search_list&query=Python,https://hh.ru
9,Data engineer (аналитик данных),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48272904?from=vacancy_search_list&query=Python,https://hh.ru
10,Junior Python Developer,"{'min_salary': 25000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48444509?from=vacancy_search_list&query=Python,https://hh.ru
11,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 380000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47682360?from=vacancy_search_list&query=Python,https://hh.ru
12,Разработчик Python (Junior),"{'min_salary': 80000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48249561?from=vacancy_search_list&query=Python,https://hh.ru
13,Стажер разработчик Python,"{'min_salary': 20000, 'max_salary': 50000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47861001?from=vacancy_search_list&query=Python,https://hh.ru
14,Junior Python developer,"{'min_salary': 40000, 'max_salary': 80000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48376658?from=vacancy_search_list&query=Python,https://hh.ru
15,Junior Data Engineer (Python),"{'min_salary': 120000, 'max_salary': 120000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47914759?from=vacancy_search_list&query=Python,https://hh.ru
16,Junior Python developer (в Сочи),"{'min_salary': 65000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47110879?from=vacancy_search_list&query=Python,https://hh.ru
17,Junior Python developer,"{'min_salary': 30000, 'max_salary': 70000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48361866?from=vacancy_search_list&query=Python,https://hh.ru
18,Data scientist(стажер),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48454842?from=vacancy_search_list&query=Python,https://hh.ru
19,Стажер (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48363708?from=vacancy_search_list&query=Python,https://hh.ru
20,Разработчик Python,"{'min_salary': 80000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48396921?from=vacancy_search_list&query=Python,https://hh.ru
21,Python Developer (Backend),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48361239?from=vacancy_search_list&query=Python,https://hh.ru
22,Python-разработчик в отдел информационных технологий распространения данных ДЗЗ,"{'min_salary': 140000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48378937?from=vacancy_search_list&query=Python,https://hh.ru
23,Python developer (Middle),"{'min_salary': 250000, 'max_salary': 300000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48091972?from=vacancy_search_list&query=Python,https://hh.ru
24,Python-developer,"{'min_salary': 90000, 'max_salary': 190000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47546326?from=vacancy_search_list&query=Python,https://hh.ru
25,Программист Python/Java,"{'min_salary': 60000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/43244378?from=vacancy_search_list&query=Python,https://hh.ru
26,Ведущий Python-developer,"{'min_salary': 220000, 'max_salary': 340000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/46690447?from=vacancy_search_list&query=Python,https://hh.ru
27,Back-end Developer(Python),"{'min_salary': 100000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47709707?from=vacancy_search_list&query=Python,https://hh.ru
28,Data Scientist,"{'min_salary': 150000, 'max_salary': 250000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48378779?from=vacancy_search_list&query=Python,https://hh.ru
29,Python Developer,"{'min_salary': 'not salary', 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47983639?from=vacancy_search_list&query=Python,https://hh.ru
30,Программист Python / Python Developer (удаленно),"{'min_salary': 60000, 'max_salary': 100000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48247232?from=vacancy_search_list&query=Python,https://hh.ru
31,Middle Python Developer,"{'min_salary': 100000, 'max_salary': 200000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48045471?from=vacancy_search_list&query=Python,https://hh.ru
32,Программист Python Backend,"{'min_salary': 'not salary', 'max_salary': 300000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48259518?from=vacancy_search_list&query=Python,https://hh.ru
33,Разработчик Python,"{'min_salary': 80000, 'max_salary': 120000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47750193?from=vacancy_search_list&query=Python,https://hh.ru
34,Бэкенд-разработчик Python/Middle Python/ Python Developer (Remote),"{'min_salary': 150000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48421483?from=vacancy_search_list&query=Python,https://hh.ru
35,Middle Python developer (в Сочи),"{'min_salary': 150000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/42601947?from=vacancy_search_list&query=Python,https://hh.ru
36,Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),"{'min_salary': 150000, 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48421449?from=vacancy_search_list&query=Python,https://hh.ru
37,Senior Python Developer,"{'min_salary': 250000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47902679?from=vacancy_search_list&query=Python,https://hh.ru
38,Python разработчик,"{'min_salary': 80000, 'max_salary': 150000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47620506?from=vacancy_search_list&query=Python,https://hh.ru
39,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 290000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47561856?from=vacancy_search_list&query=Python,https://hh.ru
40,Python developer,"{'min_salary': 'not salary', 'max_salary': 400000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47820200?from=vacancy_search_list&query=Python,https://hh.ru
41,Senior Python Developer,"{'min_salary': 180000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48419773?from=vacancy_search_list&query=Python,https://hh.ru
42,"Технический лид автоматических тестов GUI (Python, Squish)","{'min_salary': 4000, 'max_salary': 'not salary', 'currency': 'USD'}",https://spb.hh.ru/vacancy/45657026?from=vacancy_search_list&query=Python,https://hh.ru
43,"Разработчик (С++, Python)","{'min_salary': 150000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47794928?from=vacancy_search_list&query=Python,https://hh.ru
44,Python Developer,"{'min_salary': 200000, 'max_salary': 350000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47495050?from=vacancy_search_list&query=Python,https://hh.ru
45,Python developer,"{'min_salary': 40000, 'max_salary': 120000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47789424?from=vacancy_search_list&query=Python,https://hh.ru
46,Python backend-разработчик,"{'min_salary': 'not salary', 'max_salary': 220000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48251191?from=vacancy_search_list&query=Python,https://hh.ru
47,Программист Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48419048?from=vacancy_search_list&query=Python,https://hh.ru
48,Разработчик Python (средний уровень),"{'min_salary': 3000, 'max_salary': 4000, 'currency': 'USD'}",https://spb.hh.ru/vacancy/47612113?from=vacancy_search_list&query=Python,https://hh.ru
49,Программист Python,"{'min_salary': 210000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47899400?from=vacancy_search_list&query=Python,https://hh.ru
50,Data scientist,"{'min_salary': 200000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47752047?from=vacancy_search_list&query=Python,https://hh.ru
51,Junior Backend Developer (Python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/47348712?from=vacancy_search_list&query=Python,https://hh.ru
52,Python-разработчик систем сбора,"{'min_salary': 80000, 'max_salary': 150000, 'currency': 'руб.'}",https://spb.hh.ru/vacancy/45971346?from=vacancy_search_list&query=Python,https://hh.ru
53,Python разработчик,"{'min_salary': 1500, 'max_salary': 2000, 'currency': 'EUR'}",https://spb.hh.ru/vacancy/48378682?from=vacancy_search_list&query=Python,https://hh.ru
54,Python программист,"{'min_salary': 100000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/48087914?from=vacancy_search_list&query=Python,https://hh.ru
55,Backend разработчик на python,"{'min_salary': 80000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://spb.hh.ru/vacancy/47765869?from=vacancy_search_list&query=Python,https://hh.ru
56,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://spb.hh.ru/vacancy/48453683?from=vacancy_search_list&query=Python,https://hh.ru
